sample_size,mean_beta,sd_beta,mean_se,mean_ciwidth,mean_pval,true_beta,bias
4,1.9965175,.81866646,.63028961,5.4238348,.12732747,2,-.003482461
8,2.0013397,.44294783,.40580752,1.9859505,.014064059,2,.001339674
10,2.0441864,.39704576,.34866354,1.6080391,.0032093779,2,.044186354
16,2.0149488,.25875583,.26503029,1.1368668,.00042422977,2,.014948845
32,1.9971968,.18407953,.18239182,.74498755,2.4783423e-08,2,-.0028032064
64,1.9963505,.12842159,.12720157,.50854462,2.8326179e-16,2,-.0036494732
100,1.9967548,.10031334,.10056749,.39914581,4.3893039e-29,2,-.0032452345
128,2.0041029,.089205027,.089136913,.35279867,4.7515189e-35,2,.0041029453
256,2.0009446,.061004333,.063056245,.24835932,0,2,.00094461441
512,1.9991999,.044360798,.044310622,.17410764,0,2,-.00080013275
1000,1.9998412,.031341512,.031628765,.12413303,0,2,-.00015878677
1024,1.9992806,.032248303,.031296287,.12282465,0,2,-.00071942806
2048,1.9997165,.021218894,.022062611,.086535037,0,2,-.00028347969
4096,2.000212,.015694652,.015639132,.061322402,0,2,.00021195412
8192,1.9996568,.010838557,.011055245,.043342169,0,2,-.00034320354
10000,1.9996705,.009902901,.0099957641,.03918742,0,2,-.00032949448
16384,1.9989572,.0078442153,.0078142453,.030633535,0,2,-.0010428429
32768,2.000376,.0054224613,.005526253,.021663314,0,2,.0003759861
65536,2.0000865,.003730848,.003905352,.015308982,0,2,.000086545944
100000,1.9999765,.0030202072,.0031617722,.012394069,0,2,-.00002348423
131072,1.9999572,.0027813721,.0027622152,.010827791,0,2,-.000042796135
262144,2.0000715,.0019217983,.0019531464,.0076562329,0,2,.000071525574
524288,2.0000687,.001340529,.0013809601,.0054132785,0,2,.000068664551
1000000,1.9999853,.00098415592,.0010000031,.0039199507,0,2,-.000014662743
1048576,2.0000222,.0010027476,.00097659812,.0038281959,0,2,.000022172928
2097152,2.0000031,.00066791417,.00069051189,.0027067615,0,2,3.0994415e-06
