sample_size,mean_beta,sd_beta,mean_sem,mean_ciwidth,reject_rate,coverage
4,4.9947762,1.2279997,.94543451,8.1357527,.71399999,.95599997
8,5.0033092,.68017167,.60427523,2.9572163,.99599999,.94599998
10,5.0279174,.58419144,.53933114,2.4873996,1,.94599998
16,4.9756966,.40869322,.41174331,1.766203,1,.96200001
32,4.9814429,.27692318,.27456138,1.1214583,1,.954
64,4.9788656,.18376145,.19165982,.76624501,1,.954
100,5.0034466,.14799654,.15171731,.6021561,1,.95999998
128,5.0149837,.13796636,.13406701,.5306294,1,.94
256,4.9968963,.092571959,.093870103,.3697257,1,.958
512,4.9984756,.067616321,.066498943,.26129115,1,.95200002
1000,5.002048,.051502787,.047460269,.18626674,1,.92799997
1024,4.9985404,.045998834,.047007602,.18448488,1,.94999999
2048,4.9992309,.033225201,.03313344,.12995757,1,.94800001
4096,5.0008097,.022494778,.023449864,.091948964,1,.96399999
8192,4.9995532,.017246287,.016562777,.064934485,1,.94599998
10000,5.0003228,.015662858,.01499408,.058782842,1,.94199997
16384,4.999382,.01183875,.011715818,.045928564,1,.954
32768,5.0001364,.0082748523,.0082862796,.032482818,1,.95599997
65536,5.0000424,.005707345,.0058588865,.022966834,1,.94999999
100000,4.9995799,.0044993777,.0047428268,.018591763,1,.95999998
131072,4.9998822,.0041635716,.0041446392,.016246837,1,.93800002
262144,5.0002675,.0027695082,.0029299774,.01148535,1,.95999998
524288,4.9999533,.0019897374,.0020715734,.0081204511,1,.96799999
1000000,5.0000496,.0014193676,.0015000289,.0058800154,1,.94999999
1048576,5.000134,.0014086179,.0014647618,.0057417592,1,.96600002
2097152,4.9999781,.001078715,.0010357561,.0040600826,1,.94400001
