model_id,n_obs,mean_beta,mean_bias,sd_beta,rmse
1,50,.55527198,.04237197,.26654926,.26956683
1,100,.56524664,.052346673,.17763866,.18497778
1,200,.58017266,.067272656,.11861869,.13623813
1,500,.57512689,.062226899,.081126615,.10216291
1,1000,.57053024,.057630219,.054915607,.079557694
1,2000,.57170659,.058806594,.04055782,.071407564
1,5000,.57080775,.057907738,.025333146,.063193902
2,50,.49664831,-.016251698,.28018031,.28030139
2,100,.49933329,-.013566706,.18708616,.18734404
2,200,.51946706,.0065670549,.1226469,.12266941
2,500,.51246375,-.00043624293,.084265642,.084161378
2,1000,.50569874,-.007201232,.058011826,.058385067
2,2000,.50999886,-.0029011667,.041938968,.04198686
2,5000,.50842696,-.0044730096,.026238566,.026584752
3,50,.27879789,-.2341021,.39210522,.45625204
3,100,.26385549,-.24904452,.28187236,.37586775
3,200,.29395837,-.21894164,.18246557,.28486118
3,500,.28596014,-.22693987,.12210944,.25763372
3,1000,.27917269,-.23372732,.076949686,.24603844
3,2000,.28342596,-.22947402,.059683308,.23708969
3,5000,.28237015,-.23052986,.03660062,.23341009
4,50,-.58230215,-1.0952021,.18124636,1.1100612
4,100,-.58189762,-1.0947976,.11940715,1.1012739
4,200,-.56516004,-1.07806,.091041327,1.0818878
4,500,-.56900978,-1.0819098,.053517498,1.0832293
4,1000,-.57114351,-1.0840435,.039865687,1.0847745
4,2000,-.56844842,-1.0813484,.026860654,1.0816811
4,5000,-.56883782,-1.0817379,.017569611,1.0818801
5,50,.4974342,-.01546581,.30007437,.30009782
5,100,.49553913,-.017360862,.19313948,.19367757
5,200,.51976192,.006861933,.12293533,.12297316
5,500,.51310509,.00020507236,.085137948,.085031711
5,1000,.50565034,-.0072496748,.058369424,.058745466
5,2000,.51008159,-.0028183826,.041993301,.042035364
5,5000,.50851059,-.0043894104,.026322603,.026653595
6,50,-.57096517,-1.0838652,.17762651,1.0982878
6,100,-.56827939,-1.0811794,.11816237,1.0876012
6,200,-.55325848,-1.0661584,.090553217,1.0699875
6,500,-.55712456,-1.0700246,.053464968,1.0713561
6,1000,-.55877161,-1.0716716,.038717695,1.0723691
6,2000,-.55670631,-1.0696063,.02682641,1.0699419
6,5000,-.55710334,-1.0700034,.0174882,1.070146
