Sl. No.,State/UT,2023-24 - Government Schools - Number of Schools,2023-24 - Government Schools - Enrolment,2023-24 - Government Aided Schools - Number of Schools,2023-24 - Government Aided Schools - Enrolment,2023-24 - Private Unaided Recognized Schools - Number of Schools,2023-24 - Private Unaided Recognized Schools - Enrolment,2022-23 - Government Schools - Number of Schools,2022-23 - Government Schools - Enrolment,2022-23 - Government Aided Schools - Number of Schools,2022-23 - Government Aided Schools - Enrolment,2022-23 - Private Unaided Recognized Schools - Number of Schools,2022-23 - Private Unaided Recognized Schools - Enrolment
35,Andaman and Nicobar Islands,340,48792,2,1818,70,21509,342,52059,2,1895,70,21153
28,Andhra Pradesh,45000,4050116,991,125484,15232,4553380,45167,4256013,1202,162899,15127,4187640
12,Arunachal Pradesh,2847,187634,72,21377,529,110521,2922,205522,71,21500,503,93366
18,Assam,45008,5017578,2267,172353,5725,1572888,44925,5151710,3386,324992,5677,1412202
10,Bihar,78120,17466574,723,124583,9167,2665104,75550,20359013,724,155345,8053,2782051
4,Chandigarh,119,155752,7,8657,77,93320,119,164241,7,9132,77,90453
22,Chhattisgarh,48803,3947170,414,69807,7153,1751381,48728,4082523,415,71751,6931,1600253
26,Dadra and Nagar Haveli and Daman and Diu,360,93333,8,6909,63,40894,387,93770,8,7051,63,38968
7,Delhi,2693,2571404,239,139244,2565,1795930,2673,2776216,245,149575,2570,1702723
30,Goa,789,41722,557,222203,141,40810,806,42653,558,225739,140,41202
24,Gujarat,34597,5459151,5535,1631947,13490,4404561,34651,5511272,5562,1709745,13387,4277455
6,Haryana,14374,2230123,5,1570,8415,3283671,14443,2464486,6,2604,8315,3173216
2,Himachal Pradesh,15217,831845,0,0,2607,594536,15447,872058,0,0,2613,547285
1,Jammu and Kashmir,18785,1421643,1,184,5452,1203064,18785,1454668,1,201,5407,1152187
20,Jharkhand,35795,4843847,1146,282701,1634,1177005,35764,4943098,1149,290174,1583,1134152
29,Karnataka,49306,4985661,7013,1459389,19542,5480677,49520,5327221,7029,1511537,19531,5559218
32,Kerala,4809,1801570,7162,2749252,3082,1632854,4811,1854934,7178,2782767,3095,1460413
18,Ladakh,841,26275,40,698,114,29669,841,28667,27,569,111,29605
31,Lakshadweep,37,12591,0,0,0,0,37,12587,0,0,0,0
23,Madhya Pradesh,92439,8671760,581,94362,28910,6538539,92741,9095629,615,101752,28047,5980863
27,Maharashtra,65157,5325571,24173,9772608,18642,6236610,65431,5481157,23964,9753430,18723,5877079
14,Manipur,2934,203508,584,26569,1010,406852,2922,212608,583,29249,996,402131
17,Meghalaya,7779,420993,4168,345289,2152,249096,7778,438863,4173,356964,2121,242014
15,Mizoram,2587,129068,230,20009,1064,137989,2567,135515,230,21028,1023,129896
13,Nagaland,1952,141852,0,0,772,271019,1954,156175,0,0,762,259392
21,Odisha,48671,5209594,5907,970759,6042,1483582,48767,5267551,5920,938874,6062,1360691
34,Puducherry,420,83737,33,22045,282,139046,422,91295,33,23316,274,136870
3,Punjab,19242,2823581,444,182357,7704,2981950,19245,2902536,447,188500,7886,2823297
8,Rajasthan,70233,8381575,0,0,34729,8261495,69538,9250493,0,0,34497,8309461
11,Sikkim,864,71839,16,776,374,48780,864,79597,18,3860,368,44747
33,Tamil Nadu,37672,4840034,8314,2097347,12481,6027396,37658,5042026,8279,2139309,11969,5671829
32,Telangana,30022,2779713,662,78945,12126,4431380,29997,3009212,670,86664,11707,3927042
16,Tripura,4238,508036,42,27015,395,140763,4245,524284,43,26893,367,129191
9,Uttar Pradesh,137102,15868581,8291,4711804,96635,19750184,137003,18018332,8249,4952318,92348,17317238
5,Uttarakhand,16201,870147,614,149714,5252,1290260,16381,942657,613,157625,5140,1200106
19,West Bengal,82307,15967829,72,30066,7480,1190224,82579,15904276,79,26222,7887,1046996
0,India,1017660,127490199,80313,25547841,331108,90036939,1016010,136204917,81486,26233480,323430,84162385
