sample_size,mean_beta,mean_sem,mean_ci_width,sd_beta,median_beta
4,1.4865525,1.4163449,12.188081,2.3026333,1.4031742
8,1.4859161,.83736813,4.0979319,.89204109,1.5399442
10,1.5022415,.70895988,3.2697289,.78216934,1.5103276
16,1.5093868,.54014736,2.3170018,.55582172,1.5031037
32,1.4945246,.37196675,1.5193149,.37132457,1.4980357
64,1.5040065,.25341424,1.0131357,.25977662,1.5044365
100,1.4942472,.20267944,.80442154,.19661534,1.4897561
128,1.5007322,.17837292,.70598954,.17757867,1.5030431
256,1.5015604,.12538125,.49383852,.12964636,1.5056643
512,1.4979478,.088410586,.34738752,.094340712,1.4957155
1000,1.500069,.063281059,.2483584,.066107668,1.4979042
1024,1.50132,.062505342,.24530695,.057744388,1.5014362
2048,1.5006131,.044222999,.17345357,.04349057,1.4998468
4096,1.5005947,.031259455,.12257105,.031915836,1.5000315
8192,1.501883,.022114456,.086699888,.022216337,1.5022382
10000,1.5005394,.020004123,.078424215,.020533264,1.5009151
16384,1.4993224,.015621979,.061241552,.015170062,1.4994323
32768,1.5002102,.011051876,.043324158,.011127654,1.500181
65536,1.499885,.0078104474,.030616958,.0081050294,1.5001584
100000,1.4994174,.0063244235,.024791589,.0061967191,1.4996469
131072,1.5005386,.005524016,.021653948,.0052997959,1.5008876
262144,1.4998106,.0039061476,.015311891,.0037213408,1.5000715
524288,1.5000421,.0027621966,.010827636,.0027407622,1.5000989
1000000,1.5000482,.0020000136,.0078399163,.0019424871,1.5000918
1048576,1.5000776,.0019530911,.0076559847,.0018261486,1.5001359
2097152,1.4999681,.0013810425,.0054135895,.0013679997,1.499985
