N_clusters,power,mean_beta,mean_sem,adoption
20,.132,.21356311,.25293222,100% adoption
30,.148,.19008161,.20903969,100% adoption
40,.206,.19699471,.18179955,100% adoption
50,.226,.19513074,.16419761,100% adoption
60,.28600001,.21265002,.15008855,100% adoption
70,.31200001,.20547606,.13950045,100% adoption
80,.322,.19697152,.13112414,100% adoption
90,.37,.19851018,.12258216,100% adoption
100,.396,.19301987,.11622171,100% adoption
120,.50599998,.20588005,.10653712,100% adoption
140,.498,.19739297,.098711282,100% adoption
160,.55400002,.19360858,.092781901,100% adoption
180,.63999999,.20312005,.087206021,100% adoption
200,.66600001,.20163792,.082976528,100% adoption
220,.67799997,.19633657,.079533197,100% adoption
240,.74199998,.19973998,.075945824,100% adoption
260,.80800003,.20246203,.072944209,100% adoption
280,.79400003,.19784839,.070243999,100% adoption
300,.84600002,.20098813,.067888677,100% adoption
350,.87800002,.19958791,.062784202,100% adoption
400,.954,.20349275,.058868255,100% adoption
20,.096000001,.14180022,.25175324,70% adoption
30,.097999997,.12851878,.21056092,70% adoption
40,.14,.14172924,.18365124,70% adoption
50,.14,.14595947,.16439322,70% adoption
60,.15800001,.14536896,.15243268,70% adoption
70,.17399999,.14620028,.14005193,70% adoption
80,.16,.12693085,.13263704,70% adoption
90,.212,.13786663,.12372676,70% adoption
100,.19400001,.13591996,.11722045,70% adoption
120,.25999999,.14565882,.10737281,70% adoption
140,.296,.1426789,.099496879,70% adoption
160,.31400001,.1385116,.093511686,70% adoption
180,.34999999,.14198919,.087932482,70% adoption
200,.37200001,.13720419,.083479509,70% adoption
220,.428,.1417968,.079576336,70% adoption
240,.458,.14229012,.076410681,70% adoption
260,.48800001,.14374022,.073442005,70% adoption
280,.50599998,.13660379,.07050816,70% adoption
300,.49599999,.1363765,.068241112,70% adoption
350,.60399997,.13742611,.062927686,70% adoption
400,.64200002,.14087412,.059149314,70% adoption
