N,model,mean_beta,sd_beta,mean_bias,mse,variance_beta
100,T only,.83874381,.16313756,.53874379,.31680551,.026613861
100,T + confounder,.40582162,.18804449,.10582162,.046488225,.035360731
100,T + mediator,.46305037,.17884149,.16305035,.058505721,.031984277
100,T + collider,.6848439,.17126049,.38484389,.17737631,.029330155
100,T + confounder + mediator,.19062859,.1859324,-.10937142,.046463821,.034570858
100,T + confounder + collider,.25305939,.18719129,-.046940617,.037173923,.03504058
250,T only,.83630139,.10658461,.53630137,.29895675,.011360278
250,T + confounder,.39622164,.11680516,.096221626,.022874758,.013643445
250,T + mediator,.46834973,.11983144,.1683497,.042672478,.014359575
250,T + collider,.67720026,.11247467,.37720028,.15490529,.012650552
250,T + confounder + mediator,.1858604,.12009235,-.11413962,.02742118,.014422174
250,T + confounder + collider,.23552926,.11458921,-.064470746,.017260903,.013130686
500,T only,.83181918,.068471633,.53181916,.2875106,.0046883645
500,T + confounder,.38860953,.079826035,.088609517,.014211098,.0063721957
500,T + mediator,.4547067,.076188616,.15470669,.029727254,.0058047054
500,T + collider,.67416197,.074053504,.37416193,.14547011,.0054839216
500,T + confounder + mediator,.17671296,.077265434,-.12328704,.021157702,.0059699472
500,T + confounder + collider,.22993284,.081032693,-.070067167,.011462572,.0065662973
1000,T only,.83182919,.051966775,.53182918,.28553739,.0027005458
1000,T + confounder,.38735414,.060112063,.087354116,.011236975,.0036134601
1000,T + mediator,.46101573,.054864816,.16101573,.028930193,.0030101482
1000,T + collider,.67426419,.054678537,.37426418,.14305745,.0029897424
1000,T + confounder + mediator,.1800902,.057121884,-.1199098,.017634744,.0032629096
1000,T + confounder + collider,.22885302,.058289874,-.071147002,.0084528103,.0033977095
2500,T only,.83607841,.033094209,.53607839,.2884731,.0010952266
2500,T + confounder,.38828495,.038809717,.088284947,.0092974138,.0015061941
2500,T + mediator,.462248,.035896216,.162248,.027610375,.0012885383
2500,T + collider,.67951703,.034518465,.37951699,.14522229,.0011915244
2500,T + confounder + mediator,.18017717,.036781374,-.11982284,.015707677,.0013528696
2500,T + confounder + collider,.23101611,.037612937,-.068983905,.0061706826,.001414733
5000,T only,.8346163,.022183098,.53461629,.28630567,.00049208984
5000,T + confounder,.38835454,.025743121,.088354535,.0084679071,.00066270831
5000,T + mediator,.46026662,.02513206,.16026662,.026315745,.00063162047
5000,T + collider,.67755508,.02392924,.37755504,.14311928,.00057260855
5000,T + confounder + mediator,.17868154,.02583267,-.12131847,.015384166,.00066732685
5000,T + confounder + collider,.23094118,.025781875,-.069058828,.0054324977,.00066470512
